Course_ID,Learners_Enrolled,Exam_Registration
noc26_ph36,711,28
noc26_ph37,614,19
noc26_ph38,194,7
noc26_ph39,850,21
noc26_ph40,828,49
noc26_ph41,428,9
noc26_ph42,573,29
noc26_ph43,583,21
noc26_ph44,1271,37
noc26_ph45,244,6
noc26_ph46,139,7
noc26_ph47,79,4
noc26_ph48,903,18
noc26_ph49,533,16
noc26_ph50,580,16
noc26_ph51,498,14
noc26_ph52,513,16
noc26_ph53,278,10
noc26_ph54,283,9
noc26_ph55,301,3
noc26_ph56,1378,88
noc26_ph57,2933,284
noc26_ph58,573,5
noc26_ph59,327,3
noc26_ph60,596,14
noc26_ph61,1982,476
noc26_ph62,890,36
noc26_ph63,337,2
noc26_ph64,194,8
noc26_ph65,1351,45
noc26_ph66,517,13
noc26_te09,216,4
noc26_te10,343,3
noc26_te11,452,73
noc26_te12,585,73
noc26_te13,504,30
noc26_te14,215,7
TOTAL,3337806,257538
